"Day","Session city","Session country","Session region","Sessions","Sessions that completed checkout","Online store visitors","Day (previous_month)","Sessions (previous_month)","Sessions that completed checkout (previous_month)","Online store visitors (previous_month)"
"2025-09-10","Portales","United States","New Mexico",0,0,0,"2025-08-10",1,0,1
"2025-09-10","Dottikon","Switzerland","Aargau",2,0,2,"2025-08-10",0,0,0
"2025-09-10","Piotrkow Trybunalski","Poland","Łódź Voivodeship",1,0,1,"2025-08-10",0,0,0
"2025-09-11","Tonalá","Mexico","Jalisco",1,0,1,"2025-08-11",0,0,0
"2025-09-11","Montevideo","United States","Minnesota",0,0,0,"2025-08-11",1,0,1
"2025-09-11","Courchelettes","France","Hauts-de-France",0,0,0,"2025-08-11",2,0,1
"2025-09-11","Montevideo","Uruguay","Montevideo Department",21,0,20,"2025-08-11",16,0,15
"2025-09-11","Surrey","Canada","British Columbia",233,5,208,"2025-08-11",251,3,233
"2025-09-11","Tring","United Kingdom","England",5,0,4,"2025-08-11",4,0,2
"2025-09-12","Bethlehem","United States","Georgia",1,0,1,"2025-08-12",0,0,0
"2025-09-12","Bethlehem","United States","Pennsylvania",28,1,24,"2025-08-12",19,0,19
"2025-09-12","New Plymouth","New Zealand","Taranaki Region",22,0,19,"2025-08-12",20,1,20
"2025-09-12","Ebern","Germany","Bavaria",1,0,1,"2025-08-12",0,0,0
"2025-09-12","Ribnitz-Damgarten","Germany","Mecklenburg-Vorpommern",0,0,0,"2025-08-12",2,0,1
"2025-09-12","Ettringen","Germany","Bavaria",1,0,1,"2025-08-12",0,0,0
"2025-09-13","Colmar","France","Grand Est",2,0,2,"2025-08-13",5,0,3
"2025-09-13","Mohnton","United States","Pennsylvania",0,0,0,"2025-08-13",1,0,1
"2025-09-13","Jersey Shore","United States","Pennsylvania",2,0,2,"2025-08-13",1,0,1
"2025-09-13","Long Beach","United States","New York",11,0,11,"2025-08-13",20,0,15
"2025-09-13","Long Beach","United States","Mississippi",3,1,3,"2025-08-13",1,0,1
"2025-09-13","Long Beach","United States","California",151,1,129,"2025-08-13",125,2,117
"2025-09-13","Long Beach","United States","Washington",0,0,0,"2025-08-13",1,0,1
"2025-09-13","Spikkestad","Norway","Akershus",0,0,0,"2025-08-13",1,0,1
"2025-09-14","Bjärred","Sweden","Skåne County",0,0,0,"2025-08-14",1,0,1
"2025-09-14","Wagoner","United States","Oklahoma",1,0,1,"2025-08-14",2,0,2
"2025-09-14","Rowland Heights","United States","California",5,0,5,"2025-08-14",8,0,8
"2025-09-14","Guesnain","France","Hauts-de-France",0,0,0,"2025-08-14",1,0,1
"2025-09-14","Egan","United States","Louisiana",1,0,1,"2025-08-14",0,0,0
"2025-09-15","San Vicente","Mexico","Nayarit",1,0,1,"2025-08-15",0,0,0
"2025-09-15","Oak Forest","United States","Illinois",5,0,5,"2025-08-15",7,0,6
"2025-09-15","Sins","Switzerland","Aargau",0,0,0,"2025-08-15",2,0,1
"2025-09-15","Bayreuth","Germany","Bavaria",5,0,3,"2025-08-15",2,0,2
"2025-09-15","Lubliniec","Poland","Silesia",0,0,0,"2025-08-15",2,0,2
"2025-09-16","Page","United States","Arizona",1,0,1,"2025-08-16",0,0,0
"2025-09-16","Edgewater","United States","Florida",5,0,4,"2025-08-16",2,0,2
"2025-09-16","Edgewater","United States","Maryland",4,0,4,"2025-08-16",4,0,4
"2025-09-16","Edgewater","United States","New Jersey",1,0,1,"2025-08-16",0,0,0
"2025-09-16","Örnsköldsvik","Sweden","Västernorrland County",1,0,1,"2025-08-16",0,0,0
"2025-09-16","Étival-Clairefontaine","France","Grand Est",0,0,0,"2025-08-16",1,0,1
"2025-09-16","Thomaston","United States","Georgia",3,0,3,"2025-08-16",8,0,5
"2025-09-17","Gurupi","Brazil","Tocantins",0,0,0,"2025-08-17",1,0,1
"2025-09-17","Schöneck","Germany","Hesse",1,0,1,"2025-08-17",0,0,0
"2025-09-17","Greifensee","Switzerland","Zurich",0,0,0,"2025-08-17",1,0,1
"2025-09-17","Glendale Heights","United States","Illinois",1,0,1,"2025-08-17",8,0,6
"2025-09-17","Toulouse","France","Occitanie",147,0,144,"2025-08-17",32,0,28
"2025-09-18","Esher","United Kingdom","England",5,1,5,"2025-08-18",0,0,0
"2025-09-18","Wiesbaden","Germany","Hesse",16,1,14,"2025-08-18",32,0,28
"2025-09-18","Setúbal","Portugal","Setúbal",4,0,4,"2025-08-18",5,0,4
"2025-09-18","Sacavém","Portugal","Lisbon",0,0,0,"2025-08-18",1,0,1
"2025-09-18","Baia Mare","Romania","Maramureş",13,0,10,"2025-08-18",10,0,9
"2025-09-19","Beirut","Lebanon","Beyrouth",19,0,18,"2025-08-19",15,0,15
"2025-09-19","Iguatu","Brazil","Ceará",0,0,0,"2025-08-19",2,0,1
"2025-09-19","Acre","Israel","Northern District",0,0,0,"2025-08-19",1,0,1
"2025-09-19","Mmabatho","South Africa","North West",1,0,1,"2025-08-19",0,0,0
"2025-09-19","Sax","Spain","Valencia",0,0,0,"2025-08-19",1,0,1
"2025-09-20","Göttingen","Germany","Lower Saxony",1,0,1,"2025-08-20",2,0,2
"2025-09-20","Quitman","United States","Georgia",1,0,1,"2025-08-20",0,0,0
"2025-09-20","Sant Celoni","Spain","Catalonia",1,0,1,"2025-08-20",0,0,0
"2025-09-20","North Palm Beach","United States","Florida",0,0,0,"2025-08-20",1,1,1
"2025-09-20","Hinojedo","Spain","Cantabria",1,0,1,"2025-08-20",0,0,0
"2025-09-21","Samson","United States","Alabama",0,0,0,"2025-08-21",1,0,1
"2025-09-21","Santa Barbara","United States","California",32,0,27,"2025-08-21",35,1,30
"2025-09-21","Gentry","United States","Arkansas",1,0,1,"2025-08-21",0,0,0
"2025-09-21","Boyne City","United States","Michigan",1,0,1,"2025-08-21",0,0,0
"2025-09-21","Šaľa","Slovakia","Nitra Region",3,0,3,"2025-08-21",3,0,3
"2025-09-22","Leiria","Portugal","Leiria",6,0,5,"2025-08-22",12,0,12
"2025-09-22","Cantley","Canada","Quebec",0,0,0,"2025-08-22",1,0,1
"2025-09-22","Mollerussa","Spain","Catalonia",0,0,0,"2025-08-22",1,0,1
"2025-09-22","Redford","United States","Michigan",29,1,25,"2025-08-22",21,0,19
"2025-09-22","North Park","Canada","Ontario",10,0,9,"2025-08-22",9,0,7
"2025-09-23","Pinhal Novo","Portugal","Setúbal",0,0,0,"2025-08-23",1,0,1
"2025-09-23","Gainsborough","United Kingdom","England",2,0,1,"2025-08-23",1,0,1
"2025-09-23","'s-Gravenzande","The Netherlands","South Holland",0,0,0,"2025-08-23",1,0,1
"2025-09-23","Delton","United States","Michigan",2,0,2,"2025-08-23",0,0,0
"2025-09-23","Kerman","United States","California",2,0,2,"2025-08-23",1,0,1
"2025-09-24","Brewood","United Kingdom","England",1,0,1,"2025-08-24",0,0,0
"2025-09-24","Aubenas","France","Auvergne-Rhône-Alpes",0,0,0,"2025-08-24",2,0,1
"2025-09-24","Larose","United States","Louisiana",0,0,0,"2025-08-24",3,0,2
"2025-09-24","Breaux Bridge","United States","Louisiana",8,0,6,"2025-08-24",2,0,2
"2025-09-24","Osseo","United States","Minnesota",4,0,3,"2025-08-24",0,0,0
"2025-09-25","Succasunna","United States","New Jersey",0,0,0,"2025-08-25",5,0,4
"2025-09-25","Pleasant Prairie","United States","Wisconsin",5,0,3,"2025-08-25",0,0,0
"2025-09-25","Celle","Germany","Lower Saxony",4,0,4,"2025-08-25",4,0,3
"2025-09-25","Königswartha","Germany","Saxony",3,0,1,"2025-08-25",0,0,0
"2025-09-25","Lohmar","Germany","North Rhine-Westphalia",0,0,0,"2025-08-25",1,0,1
"2025-09-26","Popovo","Bulgaria","Targovishte",0,0,0,"2025-08-26",2,0,2
"2025-09-26","Plymouth","United States","Minnesota",4,0,4,"2025-08-26",1,0,1
"2025-09-26","Plymouth","United States","Massachusetts",21,0,18,"2025-08-26",8,0,8
"2025-09-26","Plymouth","United States","North Carolina",0,0,0,"2025-08-26",3,0,2
"2025-09-26","Plymouth","United States","New Hampshire",2,1,2,"2025-08-26",5,0,3
"2025-09-26","Plymouth","United States","California",1,0,1,"2025-08-26",0,0,0
"2025-09-26","Los Alamitos","United States","California",5,0,4,"2025-08-26",9,0,8
"2025-09-26","Castle Hayne","United States","North Carolina",1,0,1,"2025-08-26",0,0,0
"2025-09-26","Plymouth","United Kingdom","England",41,1,33,"2025-08-26",27,1,21
"2025-09-26","Câmpina","Romania","Prahova",2,0,2,"2025-08-26",0,0,0
"2025-09-27","Deming","United States","Washington",0,0,0,"2025-08-27",1,0,1
"2025-09-27","Deming","United States","New Mexico",0,0,0,"2025-08-27",1,0,1
"2025-09-27","Carpinteria","United States","California",1,0,1,"2025-08-27",0,0,0
"2025-09-27","Bethune","United States","South Carolina",0,0,0,"2025-08-27",2,0,2
"2025-09-27","Daphne","United States","Alabama",4,0,4,"2025-08-27",11,0,10
"2025-09-27","Justin","United States","Texas",5,0,4,"2025-08-27",7,0,5
"2025-09-28","Camarillo","United States","California",11,0,11,"2025-08-28",24,1,19
"2025-09-28","Wöbbelin","Germany","Mecklenburg-Vorpommern",1,0,1,"2025-08-28",0,0,0
"2025-09-28","Fountain Valley","United States","California",22,0,18,"2025-08-28",15,0,14
"2025-09-28","Rumbek","South Sudan","Lakes",0,0,0,"2025-08-28",1,0,1
"2025-09-28","Shawnigan Lake","Canada","British Columbia",1,0,1,"2025-08-28",2,0,2
"2025-09-29","Houilles","France","Île-de-France",3,0,3,"2025-08-29",3,0,2
"2025-09-29","Coacalco","Mexico","México",3,0,3,"2025-08-29",0,0,0
"2025-09-29","Encarnación","Paraguay","Itapúa",0,0,0,"2025-08-29",1,0,1
"2025-09-29","Lørenskog","Norway","Akershus",5,1,5,"2025-08-29",5,0,3
"2025-09-29","Tønder","Denmark","South Denmark",1,0,1,"2025-08-29",0,0,0
"2025-09-30","Dorchester","United States","Massachusetts",9,0,6,"2025-08-30",9,1,7
"2025-09-30","Temse","Belgium","Flanders",0,0,0,"2025-08-30",1,0,1
"2025-09-30","Marino","Italy","Lazio",3,0,3,"2025-08-30",0,0,0
"2025-09-30","Pahurehure","New Zealand","Auckland",8,0,7,"2025-08-30",0,0,0
"2025-09-30","Cohoes","United States","New York",1,0,1,"2025-08-30",3,0,3
,"Schüpfheim","Switzerland","Lucerne",0,0,0,"2025-08-31",1,0,1
,"Dayton","United States","Ohio",0,0,0,"2025-08-31",83,1,72
,"Dayton","United States","Texas",0,0,0,"2025-08-31",6,0,5
,"Dayton","United States","Washington",0,0,0,"2025-08-31",1,0,1
,"Dayton","United States","Nevada",0,0,0,"2025-08-31",3,0,3
,"Hyvinkää","Finland","Uusimaa",0,0,0,"2025-08-31",2,0,2
,"Augsburg","Germany","Bavaria",0,0,0,"2025-08-31",36,0,28
,"Sint-Niklaas","Belgium","Flanders",0,0,0,"2025-08-31",3,0,2
